Epoch time,Latitude,Longitude,Air Quality PM 2.5 (ug/m3),Radiation (cps)
1630638230.429604,0,0,2.0,31.6
1630638237.1772807,0,0,3.0,30.6
1630638243.929466,0,0,3.0,30.0
1630638250.842141,0,0,3.0,30.0
1630638257.5690908,0,0,2.0,34.6
1630638264.344224,0,0,2.0,34.2
1630638271.2243965,0,0,3.0,33.0
1630638278.0429096,0,0,2.0,26.6
1630638284.9245436,0,0,3.0,34.0
1630638291.958779,0,0,2.0,35.0
1630638298.9011033,0,0,2.0,36.4
1630638305.9744763,0,0,2.0,32.4
1630638313.0744624,0,0,2.0,29.8
1630638320.2846096,0,0,2.0,32.6
1630638327.410037,0,0,2.0,27.2
1630638334.6753848,0,0,3.0,33.4
1630638341.9463131,0,0,3.0,37.0
1630638349.1700559,0,0,3.0,34.2
1630638356.6589646,0,0,3.0,38.6
1630638363.922667,0,0,3.0,32.2
1630638371.4178941,0,0,3.0,31.2
1630638378.7622693,0,0,3.0,34.4
1630638386.3145497,0,0,4.5,29.6
1630638393.7237196,0,0,5.0,27.8
1630638401.3546405,0,0,5.0,29.4
1630638408.818314,0,0,4.0,32.4
1630638416.546234,0,0,4.0,35.0
1630638424.1912143,0,0,4.0,33.4
1630638431.9357586,0,0,4.0,32.2
1630638439.6880794,0,0,4.0,38.0
1630638447.4977071,0,0,4.0,32.4
1630638455.4047441,0,0,4.0,29.2
1630638463.1990285,0,0,4.0,30.0
1630638471.2781248,0,0,4.0,32.6
1630638479.4720993,0,0,4.0,33.0
1630638487.6308305,0,0,4.0,31.0
1630638495.7401054,0,0,4.0,31.2
1630638503.6919656,0,0,4.0,32.2
1630638511.9245563,0,0,4.0,29.4
1630638520.1443872,0,0,4.0,30.0
1630638528.2940643,0,0,4.0,38.2
1630638536.6260319,0,0,4.0,36.2
1630638544.872387,0,0,5.0,32.6
1630638553.253712,0,0,4.0,32.2
1630638561.5557122,0,0,5.0,34.4
1630638569.9877038,0,0,4.0,28.6
1630638578.44488,0,0,4.0,30.6
1630638587.0363307,0,0,4.0,28.6
1630638595.758495,0,0,4.0,30.2
1630638604.1581843,0,0,4.0,34.2
1630638612.8676503,0,0,4.0,29.0
1630638621.637761,0,0,4.0,31.8
1630638630.4622905,0,0,4.5,31.8
1630638639.2488601,0,0,4.0,27.8
1630638648.0095706,0,0,5.0,27.0
1630638656.767872,0,0,5.0,34.8
1630638665.6578808,0,0,5.0,28.4
1630638674.5574608,0,0,5.0,30.4
1630638683.5636904,0,0,5.0,33.0
1630638692.6859374,0,0,5.0,30.6
1630638701.6949308,0,0,4.0,34.4
1630638710.7550645,0,0,4.0,31.0
1630638719.7940469,0,0,4.0,30.2
1630638729.198167,0,0,4.0,29.0
1630638738.4413295,0,0,4.0,34.8
1630638747.8416793,0,0,4.0,33.8
1630638757.2117598,0,0,4.0,38.2
1630638766.4757986,0,0,4.0,34.4
1630638775.9370756,0,0,4.0,37.0
1630638785.22436,0,0,5.0,29.6
1630638794.7536387,0,0,4.0,32.6
1630638804.2195227,0,0,4.0,33.4
1630638813.7748485,0,0,4.0,32.6
1630638823.275484,0,0,4.0,29.8
1630638832.9612691,0,0,4.0,27.6
1630638842.6195545,0,0,4.0,32.4
1630638852.202603,0,0,4.0,33.6
1630638861.9851015,0,0,4.0,33.4
1630638871.659827,0,0,4.0,31.0
1630638881.4008534,0,0,4.0,32.8
1630638891.3253648,0,0,4.0,36.6
1630638901.2101638,0,0,4.0,34.0
1630638911.4883246,0,0,4.0,37.8
1630638921.4232798,0,0,4.0,28.0
1630638931.452085,0,0,4.0,32.6
1630638941.4943714,0,0,4.0,32.4
1630638951.6012347,0,0,4.0,32.4
1630638961.7349145,0,0,4.0,31.2
1630638971.9009008,0,0,5.0,29.0
1630638981.984337,0,0,5.0,32.6
1630638992.212528,0,0,5.0,31.4
1630639002.4144247,0,0,5.0,34.4
1630639012.7854462,0,0,5.0,28.6
1630639023.1811593,0,0,5.0,32.0
1630639033.5524898,0,0,5.0,32.4
1630639043.9882834,0,0,5.0,32.2
1630639054.4054813,0,0,5.0,32.2
1630639064.783726,0,0,5.0,37.0
1630639075.8986812,0,0,4.0,33.2
1630639086.4966953,0,0,4.0,36.8
1630639097.1159942,0,0,5.0,32.2
1630639107.6884472,0,0,4.5,25.6
1630639118.413344,0,0,4.0,36.0
1630639129.2518244,0,0,4.0,34.4
1630639139.9760425,0,0,4.0,32.6
1630639150.7787712,0,0,4.0,28.4
